2017-12-18 10:13:22,368 p=25318 u=packetferret |   25318 1513613602.36770: starting run
2017-12-18 10:13:22,476 p=25318 u=packetferret |   25318 1513613602.47670: set ansible_ssh_private_key_file for aggregation01
2017-12-18 10:13:22,476 p=25318 u=packetferret |   25318 1513613602.47681: set ansible_host for aggregation01
2017-12-18 10:13:22,476 p=25318 u=packetferret |   25318 1513613602.47690: set ansible_user for aggregation01
2017-12-18 10:13:22,477 p=25318 u=packetferret |   25318 1513613602.47739: set inventory_file for spine02
2017-12-18 10:13:22,477 p=25318 u=packetferret |   25318 1513613602.47756: set inventory_dir for spine02
2017-12-18 10:13:22,477 p=25318 u=packetferret |   25318 1513613602.47769: Added host spine02 to inventory
2017-12-18 10:13:22,477 p=25318 u=packetferret |   25318 1513613602.47784: Added host spine02 to group ungrouped
2017-12-18 10:13:22,478 p=25318 u=packetferret |   25318 1513613602.47798: set ansible_port for spine02
2017-12-18 10:13:22,478 p=25318 u=packetferret |   25318 1513613602.47811: set ansible_ssh_private_key_file for spine02
2017-12-18 10:13:22,478 p=25318 u=packetferret |   25318 1513613602.47824: set ansible_host for spine02
2017-12-18 10:13:22,478 p=25318 u=packetferret |   25318 1513613602.47837: set ansible_user for spine02
2017-12-18 10:13:22,479 p=25318 u=packetferret |   25318 1513613602.47898: set inventory_file for leaf01_pfe
2017-12-18 10:13:22,479 p=25318 u=packetferret |   25318 1513613602.47919: set inventory_dir for leaf01_pfe
2017-12-18 10:13:22,479 p=25318 u=packetferret |   25318 1513613602.47932: Added host leaf01_pfe to inventory
2017-12-18 10:13:22,479 p=25318 u=packetferret |   25318 1513613602.47947: Added host leaf01_pfe to group ungrouped
2017-12-18 10:13:22,479 p=25318 u=packetferret |   25318 1513613602.47959: set ansible_port for leaf01_pfe
2017-12-18 10:13:22,479 p=25318 u=packetferret |   25318 1513613602.47972: set ansible_ssh_private_key_file for leaf01_pfe
2017-12-18 10:13:22,479 p=25318 u=packetferret |   25318 1513613602.47981: set ansible_host for leaf01_pfe
2017-12-18 10:13:22,479 p=25318 u=packetferret |   25318 1513613602.47991: set ansible_user for leaf01_pfe
2017-12-18 10:13:22,480 p=25318 u=packetferret |   25318 1513613602.48030: set inventory_file for leaf01_re
2017-12-18 10:13:22,480 p=25318 u=packetferret |   25318 1513613602.48046: set inventory_dir for leaf01_re
2017-12-18 10:13:22,480 p=25318 u=packetferret |   25318 1513613602.48056: Added host leaf01_re to inventory
2017-12-18 10:13:22,480 p=25318 u=packetferret |   25318 1513613602.48067: Added host leaf01_re to group ungrouped
2017-12-18 10:13:22,480 p=25318 u=packetferret |   25318 1513613602.48077: set ansible_port for leaf01_re
2017-12-18 10:13:22,480 p=25318 u=packetferret |   25318 1513613602.48087: set ansible_ssh_private_key_file for leaf01_re
2017-12-18 10:13:22,481 p=25318 u=packetferret |   25318 1513613602.48097: set ansible_host for leaf01_re
2017-12-18 10:13:22,481 p=25318 u=packetferret |   25318 1513613602.48108: set ansible_user for leaf01_re
2017-12-18 10:13:22,481 p=25318 u=packetferret |   25318 1513613602.48150: set inventory_file for spine01
2017-12-18 10:13:22,481 p=25318 u=packetferret |   25318 1513613602.48165: set inventory_dir for spine01
2017-12-18 10:13:22,481 p=25318 u=packetferret |   25318 1513613602.48175: Added host spine01 to inventory
2017-12-18 10:13:22,481 p=25318 u=packetferret |   25318 1513613602.48186: Added host spine01 to group ungrouped
2017-12-18 10:13:22,482 p=25318 u=packetferret |   25318 1513613602.48197: set ansible_port for spine01
2017-12-18 10:13:22,482 p=25318 u=packetferret |   25318 1513613602.48207: set ansible_ssh_private_key_file for spine01
2017-12-18 10:13:22,482 p=25318 u=packetferret |   25318 1513613602.48217: set ansible_host for spine01
2017-12-18 10:13:22,482 p=25318 u=packetferret |   25318 1513613602.48226: set ansible_user for spine01
2017-12-18 10:13:22,482 p=25318 u=packetferret |   25318 1513613602.48236: Added group aggregation to inventory
2017-12-18 10:13:22,482 p=25318 u=packetferret |   25318 1513613602.48256: Added host aggregation01 to group aggregation
2017-12-18 10:13:22,482 p=25318 u=packetferret |   25318 1513613602.48267: Added host aggregation02 to group aggregation
2017-12-18 10:13:22,482 p=25318 u=packetferret |   25318 1513613602.48278: Added group spine to inventory
2017-12-18 10:13:22,483 p=25318 u=packetferret |   25318 1513613602.48297: Added host spine01 to group spine
2017-12-18 10:13:22,483 p=25318 u=packetferret |   25318 1513613602.48308: Added host spine02 to group spine
2017-12-18 10:13:22,483 p=25318 u=packetferret |   25318 1513613602.48318: Added group leaf to inventory
2017-12-18 10:13:22,483 p=25318 u=packetferret |   25318 1513613602.48337: Added host leaf01_re to group leaf
2017-12-18 10:13:22,483 p=25318 u=packetferret |   25318 1513613602.48348: set inventory_file for leaf02_re
2017-12-18 10:13:22,483 p=25318 u=packetferret |   25318 1513613602.48361: set inventory_dir for leaf02_re
2017-12-18 10:13:22,483 p=25318 u=packetferret |   25318 1513613602.48371: Added host leaf02_re to inventory
2017-12-18 10:13:22,483 p=25318 u=packetferret |   25318 1513613602.48381: Added host leaf02_re to group leaf
2017-12-18 10:13:22,483 p=25318 u=packetferret |   25318 1513613602.48391: set inventory_file for leaf03_re
2017-12-18 10:13:22,484 p=25318 u=packetferret |   25318 1513613602.48405: set inventory_dir for leaf03_re
2017-12-18 10:13:22,484 p=25318 u=packetferret |   25318 1513613602.48414: Added host leaf03_re to inventory
2017-12-18 10:13:22,484 p=25318 u=packetferret |   25318 1513613602.48424: Added host leaf03_re to group leaf
2017-12-18 10:13:22,484 p=25318 u=packetferret |   25318 1513613602.48434: set inventory_file for leaf04_re
2017-12-18 10:13:22,484 p=25318 u=packetferret |   25318 1513613602.48447: set inventory_dir for leaf04_re
2017-12-18 10:13:22,484 p=25318 u=packetferret |   25318 1513613602.48455: Added host leaf04_re to inventory
2017-12-18 10:13:22,484 p=25318 u=packetferret |   25318 1513613602.48463: Added host leaf04_re to group leaf
2017-12-18 10:13:22,484 p=25318 u=packetferret |   25318 1513613602.48474: Added group arista to inventory
2017-12-18 10:13:22,484 p=25318 u=packetferret |   25318 1513613602.48489: Group arista now contains spine
2017-12-18 10:13:22,485 p=25318 u=packetferret |   25318 1513613602.48503: Added group juniper to inventory
2017-12-18 10:13:22,485 p=25318 u=packetferret |   25318 1513613602.48517: Group juniper now contains leaf
2017-12-18 10:13:22,485 p=25318 u=packetferret |   25318 1513613602.48526: Added group cumulus to inventory
2017-12-18 10:13:22,485 p=25318 u=packetferret |   25318 1513613602.48538: Group cumulus now contains aggregation
2017-12-18 10:13:22,485 p=25318 u=packetferret |   25318 1513613602.48551: Group all now contains arista
2017-12-18 10:13:22,485 p=25318 u=packetferret |   25318 1513613602.48562: Group all now contains cumulus
2017-12-18 10:13:22,485 p=25318 u=packetferret |   25318 1513613602.48580: Group all now contains juniper
2017-12-18 10:13:22,486 p=25318 u=packetferret |   25318 1513613602.48594: Reconcile groups and hosts in inventory.
2017-12-18 10:13:22,486 p=25318 u=packetferret |   25318 1513613602.48611: Group all now contains leaf02_re
2017-12-18 10:13:22,486 p=25318 u=packetferret |   25318 1513613602.48624: Group all now contains leaf04_re
2017-12-18 10:13:22,486 p=25318 u=packetferret |   25318 1513613602.48634: Group all now contains spine02
2017-12-18 10:13:22,486 p=25318 u=packetferret |   25318 1513613602.48644: Group all now contains leaf01_pfe
2017-12-18 10:13:22,486 p=25318 u=packetferret |   25318 1513613602.48655: Group all now contains spine01
2017-12-18 10:13:22,486 p=25318 u=packetferret |   25318 1513613602.48665: Group all now contains aggregation02
2017-12-18 10:13:22,486 p=25318 u=packetferret |   25318 1513613602.48677: Group all now contains aggregation01
2017-12-18 10:13:22,486 p=25318 u=packetferret |   25318 1513613602.48687: Group all now contains leaf03_re
2017-12-18 10:13:22,487 p=25318 u=packetferret |   25318 1513613602.48698: Group all now contains leaf01_re
2017-12-18 10:13:22,487 p=25318 u=packetferret |   25318 1513613602.48718: Loading CacheModule 'memory' from /usr/lib/python2.7/site-packages/ansible/plugins/cache/memory.py (found_in_cache=True, class_only=False)
2017-12-18 10:13:22,498 p=25318 u=packetferret |   25318 1513613602.49832: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/provisioning/junos_user.yml
2017-12-18 10:13:22,585 p=25318 u=packetferret |   25318 1513613602.58513: Loading CallbackModule 'default' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/default.py
2017-12-18 10:13:22,589 p=25318 u=packetferret |   25318 1513613602.58987: assigned :doc
2017-12-18 10:13:22,590 p=25318 u=packetferret |   25318 1513613602.59091: Loading CallbackModule 'actionable' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/actionable.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,591 p=25318 u=packetferret |   25318 1513613602.59167: assigned :doc
2017-12-18 10:13:22,592 p=25318 u=packetferret |   25318 1513613602.59208: Loading CallbackModule 'context_demo' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/context_demo.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,593 p=25318 u=packetferret |   25318 1513613602.59304: assigned :doc
2017-12-18 10:13:22,593 p=25318 u=packetferret |   25318 1513613602.59348: Loading CallbackModule 'debug' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/debug.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,594 p=25318 u=packetferret |   25318 1513613602.59441: assigned :doc
2017-12-18 10:13:22,594 p=25318 u=packetferret |   25318 1513613602.59467: Loading CallbackModule 'default' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/default.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,599 p=25318 u=packetferret |   25318 1513613602.59900: assigned :doc
2017-12-18 10:13:22,600 p=25318 u=packetferret |   25318 1513613602.59994: Loading CallbackModule 'dense' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/dense.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,603 p=25318 u=packetferret |   25318 1513613602.60331: assigned :doc
2017-12-18 10:13:22,634 p=25318 u=packetferret |   25318 1513613602.63408: Loading CallbackModule 'foreman' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/foreman.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,636 p=25318 u=packetferret |   25318 1513613602.63676: assigned :doc
2017-12-18 10:13:22,637 p=25318 u=packetferret |   25318 1513613602.63711: Loaded config def from plugin (callback/foreman)
2017-12-18 10:13:22,637 p=25318 u=packetferret |   25318 1513613602.63753: Loading CallbackModule 'full_skip' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/full_skip.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,638 p=25318 u=packetferret |   25318 1513613602.63854: assigned :doc
2017-12-18 10:13:22,639 p=25318 u=packetferret |   25318 1513613602.63950: Loading CallbackModule 'hipchat' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/hipchat.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,641 p=25318 u=packetferret |   25318 1513613602.64122: assigned :doc
2017-12-18 10:13:22,641 p=25318 u=packetferret |   25318 1513613602.64142: Loaded config def from plugin (callback/hipchat)
2017-12-18 10:13:22,641 p=25318 u=packetferret |   25318 1513613602.64176: Loading CallbackModule 'jabber' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/jabber.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,643 p=25318 u=packetferret |   25318 1513613602.64365: assigned :doc
2017-12-18 10:13:22,643 p=25318 u=packetferret |   25318 1513613602.64387: Loaded config def from plugin (callback/jabber)
2017-12-18 10:13:22,644 p=25318 u=packetferret |   25318 1513613602.64415: Loading CallbackModule 'json' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/json.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,644 p=25318 u=packetferret |   25318 1513613602.64481: assigned :doc
2017-12-18 10:13:22,645 p=25318 u=packetferret |   25318 1513613602.64528: Loading CallbackModule 'junit' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/junit.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,647 p=25318 u=packetferret |   25318 1513613602.64760: assigned :doc
2017-12-18 10:13:22,647 p=25318 u=packetferret |   25318 1513613602.64787: Loaded config def from plugin (callback/junit)
2017-12-18 10:13:22,648 p=25318 u=packetferret |   25318 1513613602.64815: Loading CallbackModule 'log_plays' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/log_plays.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,648 p=25318 u=packetferret |   25318 1513613602.64889: assigned :doc
2017-12-18 10:13:22,649 p=25318 u=packetferret |   25318 1513613602.64959: Loading CallbackModule 'logentries' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/logentries.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,655 p=25318 u=packetferret |   25318 1513613602.65562: assigned :doc
2017-12-18 10:13:22,655 p=25318 u=packetferret |   25318 1513613602.65588: assigned :plainexamples
2017-12-18 10:13:22,656 p=25318 u=packetferret |   25318 1513613602.65630: Loaded config def from plugin (callback/logentries)
2017-12-18 10:13:22,656 p=25318 u=packetferret |   25318 1513613602.65683: Loading CallbackModule 'logstash' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/logstash.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,658 p=25318 u=packetferret |   25318 1513613602.65860: assigned :doc
2017-12-18 10:13:22,658 p=25318 u=packetferret |   25318 1513613602.65890: Loaded config def from plugin (callback/logstash)
2017-12-18 10:13:22,659 p=25318 u=packetferret |   25318 1513613602.65967: Loading CallbackModule 'mail' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/mail.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,661 p=25318 u=packetferret |   25318 1513613602.66106: assigned :doc
2017-12-18 10:13:22,661 p=25318 u=packetferret |   25318 1513613602.66127: Loaded config def from plugin (callback/mail)
2017-12-18 10:13:22,661 p=25318 u=packetferret |   25318 1513613602.66155: Loading CallbackModule 'minimal' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/minimal.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,662 p=25318 u=packetferret |   25318 1513613602.66263: assigned :doc
2017-12-18 10:13:22,663 p=25318 u=packetferret |   25318 1513613602.66296: Loading CallbackModule 'oneline' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/oneline.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,663 p=25318 u=packetferret |   25318 1513613602.66382: assigned :doc
2017-12-18 10:13:22,664 p=25318 u=packetferret |   25318 1513613602.66415: Loading CallbackModule 'osx_say' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/osx_say.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,664 p=25318 u=packetferret |   25318 1513613602.66488: assigned :doc
2017-12-18 10:13:22,665 p=25318 u=packetferret |   25318 1513613602.66521: Loading CallbackModule 'profile_roles' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/profile_roles.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,666 p=25318 u=packetferret |   25318 1513613602.66618: assigned :doc
2017-12-18 10:13:22,666 p=25318 u=packetferret |   25318 1513613602.66653: Loading CallbackModule 'profile_tasks' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/profile_tasks.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,668 p=25318 u=packetferret |   25318 1513613602.66824: assigned :doc
2017-12-18 10:13:22,668 p=25318 u=packetferret |   25318 1513613602.66843: assigned :plainexamples
2017-12-18 10:13:22,668 p=25318 u=packetferret |   25318 1513613602.66864: Loaded config def from plugin (callback/profile_tasks)
2017-12-18 10:13:22,669 p=25318 u=packetferret |   25318 1513613602.66897: Loading CallbackModule 'selective' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/selective.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,671 p=25318 u=packetferret |   25318 1513613602.67133: assigned :doc
2017-12-18 10:13:22,671 p=25318 u=packetferret |   25318 1513613602.67146: assigned :plainexamples
2017-12-18 10:13:22,671 p=25318 u=packetferret |   25318 1513613602.67171: Loaded config def from plugin (callback/selective)
2017-12-18 10:13:22,672 p=25318 u=packetferret |   25318 1513613602.67198: Loading CallbackModule 'skippy' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/skippy.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,672 p=25318 u=packetferret |   25318 1513613602.67242: assigned :doc
2017-12-18 10:13:22,672 p=25318 u=packetferret |   25318 1513613602.67281: Loading CallbackModule 'slack' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/slack.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,674 p=25318 u=packetferret |   25318 1513613602.67462: assigned :doc
2017-12-18 10:13:22,674 p=25318 u=packetferret |   25318 1513613602.67491: Loaded config def from plugin (callback/slack)
2017-12-18 10:13:22,675 p=25318 u=packetferret |   25318 1513613602.67533: Loading CallbackModule 'stderr' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/stderr.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,676 p=25318 u=packetferret |   25318 1513613602.67650: assigned :doc
2017-12-18 10:13:22,677 p=25318 u=packetferret |   25318 1513613602.67739: Loading CallbackModule 'syslog_json' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/syslog_json.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,679 p=25318 u=packetferret |   25318 1513613602.67909: assigned :doc
2017-12-18 10:13:22,679 p=25318 u=packetferret |   25318 1513613602.67932: Loaded config def from plugin (callback/syslog_json)
2017-12-18 10:13:22,679 p=25318 u=packetferret |   25318 1513613602.67960: Loading CallbackModule 'timer' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/timer.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,680 p=25318 u=packetferret |   25318 1513613602.68013: assigned :doc
2017-12-18 10:13:22,680 p=25318 u=packetferret |   25318 1513613602.68043: Loading CallbackModule 'tree' from /usr/lib/python2.7/site-packages/ansible/plugins/callback/tree.py (found_in_cache=False, class_only=True)
2017-12-18 10:13:22,681 p=25318 u=packetferret |   25318 1513613602.68109: assigned :doc
2017-12-18 10:13:22,681 p=25318 u=packetferret |   25318 1513613602.68132: in VariableManager get_vars()
2017-12-18 10:13:22,692 p=25318 u=packetferret |   25318 1513613602.69268: Loading FilterModule 'core' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/core.py
2017-12-18 10:13:22,693 p=25318 u=packetferret |   25318 1513613602.69345: Loading FilterModule 'ipaddr' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/ipaddr.py
2017-12-18 10:13:22,695 p=25318 u=packetferret |   25318 1513613602.69550: Loading FilterModule 'json_query' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/json_query.py
2017-12-18 10:13:22,695 p=25318 u=packetferret |   25318 1513613602.69591: Loading FilterModule 'mathstuff' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/mathstuff.py
2017-12-18 10:13:22,696 p=25318 u=packetferret |   25318 1513613602.69659: Loading FilterModule 'network' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/network.py
2017-12-18 10:13:22,696 p=25318 u=packetferret |   25318 1513613602.69689: Loading FilterModule 'urlsplit' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/urlsplit.py
2017-12-18 10:13:22,698 p=25318 u=packetferret |   25318 1513613602.69798: Loading TestModule 'core' from /usr/lib/python2.7/site-packages/ansible/plugins/test/core.py
2017-12-18 10:13:22,698 p=25318 u=packetferret |   25318 1513613602.69831: Loading TestModule 'files' from /usr/lib/python2.7/site-packages/ansible/plugins/test/files.py
2017-12-18 10:13:22,698 p=25318 u=packetferret |   25318 1513613602.69859: Loading TestModule 'mathstuff' from /usr/lib/python2.7/site-packages/ansible/plugins/test/mathstuff.py
2017-12-18 10:13:22,702 p=25318 u=packetferret |   25318 1513613602.70235: done with get_vars()
2017-12-18 10:13:22,702 p=25318 u=packetferret |   25318 1513613602.70289: in VariableManager get_vars()
2017-12-18 10:13:22,703 p=25318 u=packetferret |   25318 1513613602.70327: Loading FilterModule 'core' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/core.py (found_in_cache=True, class_only=False)
2017-12-18 10:13:22,703 p=25318 u=packetferret |   25318 1513613602.70342: Loading FilterModule 'ipaddr' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/ipaddr.py (found_in_cache=True, class_only=False)
2017-12-18 10:13:22,703 p=25318 u=packetferret |   25318 1513613602.70356: Loading FilterModule 'json_query' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/json_query.py (found_in_cache=True, class_only=False)
2017-12-18 10:13:22,703 p=25318 u=packetferret |   25318 1513613602.70368: Loading FilterModule 'mathstuff' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/mathstuff.py (found_in_cache=True, class_only=False)
2017-12-18 10:13:22,703 p=25318 u=packetferret |   25318 1513613602.70379: Loading FilterModule 'network' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/network.py (found_in_cache=True, class_only=False)
2017-12-18 10:13:22,703 p=25318 u=packetferret |   25318 1513613602.70389: Loading FilterModule 'urlsplit' from /usr/lib/python2.7/site-packages/ansible/plugins/filter/urlsplit.py (found_in_cache=True, class_only=False)
2017-12-18 10:13:22,704 p=25318 u=packetferret |   25318 1513613602.70417: Loading TestModule 'core' from /usr/lib/python2.7/site-packages/ansible/plugins/test/core.py (found_in_cache=True, class_only=False)
2017-12-18 10:13:22,704 p=25318 u=packetferret |   25318 1513613602.70430: Loading TestModule 'files' from /usr/lib/python2.7/site-packages/ansible/plugins/test/files.py (found_in_cache=True, class_only=False)
2017-12-18 10:13:22,704 p=25318 u=packetferret |   25318 1513613602.70443: Loading TestModule 'mathstuff' from /usr/lib/python2.7/site-packages/ansible/plugins/test/mathstuff.py (found_in_cache=True, class_only=False)
2017-12-18 10:13:22,705 p=25318 u=packetferret |   25318 1513613602.70521: done with get_vars()
2017-12-18 10:13:22,705 p=25318 u=packetferret |  PLAY [### JUNOS - CREATE USER ###] ************************************************************************************************************************************************************
2017-12-18 10:13:22,723 p=25318 u=packetferret |   25318 1513613602.72346: Loading StrategyModule 'linear' from /usr/lib/python2.7/site-packages/ansible/plugins/strategy/linear.py
2017-12-18 10:13:22,723 p=25318 u=packetferret |   25318 1513613602.72386: getting the remaining hosts for this loop
2017-12-18 10:13:22,724 p=25318 u=packetferret |   25318 1513613602.72402: done getting the remaining hosts for this loop
2017-12-18 10:13:22,724 p=25318 u=packetferret |   25318 1513613602.72416: building list of next tasks for hosts
2017-12-18 10:13:22,724 p=25318 u=packetferret |   25318 1513613602.72430: getting the next task for host leaf01_re
2017-12-18 10:13:22,724 p=25318 u=packetferret |   25318 1513613602.72444: done getting next task for host leaf01_re
2017-12-18 10:13:22,724 p=25318 u=packetferret |   25318 1513613602.72455:  ^ task is: TASK: meta (flush_handlers)
2017-12-18 10:13:22,724 p=25318 u=packetferret |   25318 1513613602.72467:  ^ state is: HOST STATE: block=1, task=1, rescue=0, always=0, run_state=ITERATING_TASKS, fail_state=FAILED_NONE, pending_setup=False, tasks child state? (None), rescue child state? (None), always child state? (None), did rescue? False, did start at task? False
2017-12-18 10:13:22,724 p=25318 u=packetferret |   25318 1513613602.72478: getting the next task for host leaf02_re
